上海频道,#genre#
上海外语,http://39.134.39.39/PLTV/88888888/224/3221226201/index.m3u8
上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海纪实,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
法制天地,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
浦东财经,http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8
七彩戏曲,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
七彩戏曲,http://112.25.48.68/live/program/live/qcxj/1300000/mnf.m3u8
七彩戏曲,http://140.207.241.2:8080/live/program/live/qcxj/1300000/mnf.m3u8
生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
新闻综合,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8
东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
全纪实,http://112.25.48.68/live/program/live/qjshd/4000000/mnf.m3u8
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
极速汽车,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
游戏风云,http://112.25.48.68/live/program/live/yxfyhd/4000000/mnf.m3u8
五星体育,http://39.134.134.89/000000001000/5000000010000017540/index.m3u8
五星体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://112.25.48.68/live/program/live/ssty/4000000/mnf.m3u8
魅力足球,http://27.47.68.26:808/hls/50/index.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/hhxdhd/4000000/mnf.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/xdkt/1300000/mnf.m3u8

央视频道,#genre#
CCTV-1综合,http://ott.js.chinamobile.com/TVOD/3/224/3221228049/index.m3u8
CCTV-1综合,http://ott.js.chinamobile.com/TVOD/3/224/3221228146/index.m3u8
CCTV-1综合,http://ott.js.chinamobile.com/TVOD/3/224/3221228149/index.m3u8
CCTV-2财经,http://ott.js.chinamobile.com/TVOD/3/224/3221228094/index.m3u8
CCTV-2财经,http://ott.js.chinamobile.com/TVOD/3/224/3221228118/index.m3u8
CCTV-3综艺,http://ott.js.chinamobile.com/TVOD/3/224/3221228126/index.m3u8
CCTV-3综艺,http://ott.js.chinamobile.com/TVOD/3/224/3221228188/index.m3u8
CCTV-4中文,http://ott.js.chinamobile.com/TVOD/3/224/3221228091/index.m3u8
CCTV-4中文,http://ott.js.chinamobile.com/TVOD/3/224/3221228156/index.m3u8
CCTV-5体育,http://ott.js.chinamobile.com/TVOD/3/224/3221228082/index.m3u8
CCTV-5体+,http://ott.js.chinamobile.com/TVOD/3/224/3221228114/index.m3u8
CCTV-6电影,http://ott.js.chinamobile.com/TVOD/3/224/3221228123/index.m3u8
CCTV-7国防,http://ott.js.chinamobile.com/TVOD/3/224/3221227642/index.m3u8
CCTV-8电视,http://ott.js.chinamobile.com/TVOD/3/224/3221228079/index.m3u8
CCTV-9记录,http://ott.js.chinamobile.com/TVOD/3/224/3221227614/index.m3u8
CCTV-10科教,http://ott.js.chinamobile.com/TVOD/3/224/3221228078/index.m3u8
CCTV-11戏曲,http://ott.js.chinamobile.com/TVOD/3/224/3221227384/index.m3u8
CCTV-12社会,http://ott.js.chinamobile.com/TVOD/3/224/3221227655/index.m3u8
CCTV-13新闻,http://ott.js.chinamobile.com/TVOD/3/224/3221228121/index.m3u8
CCTV-13新闻,http://ott.js.chinamobile.com/TVOD/3/224/3221228224/index.m3u8
CCTV-14少儿,http://ott.js.chinamobile.com/TVOD/3/224/3221227201/index.m3u8
CCTV-15音乐,http://ott.js.chinamobile.com/TVOD/3/224/3221227538/index.m3u8
